-5.355041,  0.156372
-4.984452, -1.498692
-4.687605, -2.396114
-3.654939, -3.756802
-2.085112, -4.765784
-0.501446, -4.898281
-0.433055, -4.661588
-0.430838, -3.364284
-0.430682, -2.949706
-0.430602, -2.396771
-0.430601, -2.026009
-0.430599, -0.915358
-0.430598,  0.100260
-0.430598,  0.956968
-0.430599,  1.194124
-0.430601,  1.433835
-0.430627,  2.351150
-0.430804,  3.666179
-0.430993,  3.957811
-0.443885,  4.166656
-0.452587,  4.256930
-0.585292,  4.488205
-0.960748,  5.084958
-1.965512,  4.826488
-4.500362,  2.734579
-4.906639,  2.180208
-5.002197,  1.937833
