n,m,threads_per_block,cpu_row_time,cpu_col_time,cpu_reduce_row_time,cpu_reduce_col_time,gpu_row_time,gpu_col_time,gpu_reduce_row_time,gpu_reduce_col_time,cpu_row_sum,cpu_col_sum,gpu_row_sum,gpu_col_sum,row_speedup,col_speedup,row_reduce_speedup,col_reduce_speedup,row_error,col_error
10000,10000,512,0.052765,0.714629,0.000005,0.000006,0.117984,0.106774,0.000692,0.000893,999996608.000000,999999872.000000,999998208.000000,999998080.000000,0.45,6.69,0.01,0.01,0.00000160,0.00000179
10000,10000,1024,0.050988,0.776048,0.000005,0.000005,0.198279,0.109515,0.000865,0.000714,999996608.000000,999999872.000000,999998208.000000,999998272.000000,0.26,7.09,0.01,0.01,0.00000160,0.00000160
25000,25000,4,0.318694,4.983957,0.000011,0.000012,1.135878,0.707423,0.000995,0.000978,6250256896.000000,6250206720.000000,6250220544.000000,6250221056.000000,0.28,7.05,0.01,0.01,0.00000582,0.00000229
25000,25000,8,0.322590,5.053379,0.000011,0.000014,1.624581,0.762742,0.000884,0.000969,6250256896.000000,6250206720.000000,6250227200.000000,6250216960.000000,0.20,6.63,0.01,0.01,0.00000475,0.00000164
25000,25000,16,0.320094,5.073460,0.000012,0.000013,1.441549,0.669961,0.000787,0.000861,6250256896.000000,6250206720.000000,6250213376.000000,6250208768.000000,0.22,7.57,0.01,0.02,0.00000696,0.00000033
25000,25000,32,0.324876,5.261300,0.000012,0.000013,1.425507,0.674947,0.000849,0.000924,6250256896.000000,6250206720.000000,6250217472.000000,6250213888.000000,0.23,7.80,0.01,0.01,0.00000631,0.00000115
25000,25000,64,0.361303,5.113617,0.000013,0.000013,1.599639,0.656807,0.001118,0.000912,6250256896.000000,6250206720.000000,6250215936.000000,6250216448.000000,0.23,7.79,0.01,0.01,0.00000655,0.00000156
25000,25000,128,0.319721,5.118238,0.000012,0.000012,1.891491,0.663524,0.000883,0.000872,6250256896.000000,6250206720.000000,6250213376.000000,6250214912.000000,0.17,7.71,0.01,0.01,0.00000696,0.00000131
25000,25000,256,0.320836,5.051225,0.000012,0.000012,1.797094,0.829752,0.000832,0.000813,6250256896.000000,6250206720.000000,6250213888.000000,6250215936.000000,0.18,6.09,0.01,0.01,0.00000688,0.00000147
25000,25000,512,0.345161,5.116548,0.000013,0.000012,1.647967,0.670034,0.000920,0.001198,6250256896.000000,6250206720.000000,6250213888.000000,6250214912.000000,0.21,7.64,0.01,0.01,0.00000688,0.00000131
25000,25000,1024,0.340817,5.092275,0.000013,0.000013,1.997707,0.693068,0.000977,0.001096,6250256896.000000,6250206720.000000,6250214912.000000,6250215424.000000,0.17,7.35,0.01,0.01,0.00000672,0.00000139
