n,m,threads_per_block,cpu_row_time,cpu_col_time,cpu_reduce_row_time,cpu_reduce_col_time,gpu_row_time,gpu_col_time,gpu_reduce_row_time,gpu_reduce_col_time,cpu_row_sum,cpu_col_sum,gpu_row_sum,gpu_col_sum,row_speedup,col_speedup,row_reduce_speedup,col_reduce_speedup,row_error,col_error
1000,1000,256,0.000628,0.001177,0.000001,0.000001,0.279865,0.003138,0.000665,0.000517,9999852.855552,9999852.855552,9999852.855552,9999852.855552,0.00,0.38,0.00,0.00,0.00000000,0.00000000
5000,5000,256,0.015973,0.154359,0.000003,0.000003,0.096623,0.054648,0.000687,0.000736,249969146.956744,249969146.956746,249969146.956745,249969146.956745,0.17,2.82,0.00,0.00,0.00000000,0.00000000
10000,10000,256,0.061203,0.752618,0.000006,0.000006,0.373191,0.215019,0.000889,0.000732,999998144.369694,999998144.369690,999998144.369694,999998144.369694,0.16,3.50,0.01,0.01,0.00000000,0.00000000
25000,25000,256,0.386312,5.295085,0.000113,0.000015,3.620172,1.540559,0.001066,0.000872,6250214650.435411,6250214650.435418,6250214650.435410,6250214650.435411,0.11,3.44,0.11,0.02,0.00000000,0.00000000
